N;Instance;Decoder;Total Distance;Time Spent;Alpha
N010;52;PositionalDecoderWithVehicleByPercentage;786,92;142,21;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;751,95;142,21;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;770,38;124,95;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;786,60;124,95;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;783,17;124,95;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;787,74;124,95;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;756,00;142,21;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;753,76;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;798,07;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;741,88;142,21;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;790,27;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;770,04;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;763,01;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;819,14;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;795,73;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;781,52;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;808,08;124,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;735,75;142,21;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;707,23;188,34;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;783,68;188,34;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;887,69;188,34;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;760,63;163,35;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;796,29;184,33;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;842,65;163,35;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;688,72;188,34;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;895,07;184,33;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;762,38;163,35;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;841,99;163,35;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;774,94;174,32;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;708,36;184,33;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;879,28;163,35;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;879,28;163,35;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;811,41;188,34;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;713,38;188,34;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;797,25;163,35;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;903,19;184,33;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;746,97;184,33;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;819,32;188,34;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;880,46;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;896,75;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;863,89;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;924,59;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;874,23;123,72;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;853,19;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;924,64;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;853,43;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;880,50;115,86;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;878,09;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;861,72;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;885,98;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;912,11;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;905,50;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;897,68;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;893,41;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;900,07;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;905,50;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;880,46;115,86;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;870,14;115,86;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;893,85;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;865,07;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;925,85;164,92;Alpha1
