N;Instance;Decoder;Time Spent;Alpha
N10;52;PositionalDecoderWithVehicleByPercentage;179,38;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;142,21;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;179,38;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;142,21;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;179,38;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;139,32;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;124,95;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;93,56;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;80,83;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;175,02;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;204,30;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;175,02;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;175,02;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;175,02;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;171,29;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;169,65;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;161,88;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;161,88;Alpha1
