N;Instance;Decoder;Time Spent;Alpha
N010;58;PositionalDecoderWithVehicleByPercentage;184,33;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;163,35;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;188,34;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;188,34;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;205,13;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;163,35;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;184,33;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;188,34;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;262,42;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;258,96;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;282,94;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;279,77;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;264,64;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;260,61;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;250,58;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;265,05;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;332,96;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;277,88;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;290,30;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;288,72;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;278,87;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;294,44;Alpha1
N020;70;PositionalDecoderWithVehicleByPercentage;261,18;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;263,39;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;272,00;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;260,60;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;274,16;Alpha1
N020;70;TimeDecoderWithVehicleByPercentage;302,94;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;244,97;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;245,71;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;235,71;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;217,52;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;267,69;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;201,45;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;252,60;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;206,96;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;228,42;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;299,96;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;282,39;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;257,29;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;308,94;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;297,02;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;287,62;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;300,99;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;270,28;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;345,88;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;286,17;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;293,96;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;266,79;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;315,43;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;271,34;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;320,75;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;321,79;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;295,45;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;355,15;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;299,39;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;309,89;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;337,36;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;263,59;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;307,89;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;273,17;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;335,06;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;334,53;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;251,88;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;267,20;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;316,15;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;288,71;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;321,17;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;280,90;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;313,56;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;334,61;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;301,53;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;307,96;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;299,11;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;303,80;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;283,53;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;319,93;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;316,78;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;305,17;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;292,21;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;307,65;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;259,48;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;275,84;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;287,37;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;242,56;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;287,96;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;248,77;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;287,25;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;256,68;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;264,82;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;296,17;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;269,47;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;257,05;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;293,33;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;329,53;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;262,25;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;224,29;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;313,55;Alpha1
N020;64;PositionalDecoderWithVehicleByPercentage;255,25;Alpha1
N020;64;PositionalDecoderWithVehicleByPercentage;226,21;Alpha1
N020;64;PositionalDecoderWithVehicleByPercentage;252,39;Alpha1
N020;64;PositionalDecoderWithVehicleByPercentage;242,57;Alpha1
N020;64;PositionalDecoderWithVehicleByPercentage;257,58;Alpha1
N020;64;TimeDecoderWithVehicleByPercentage;185,52;Alpha1
N020;64;TimeDecoderWithVehicleByPercentage;199,81;Alpha1
N020;64;TimeDecoderWithVehicleByPercentage;229,12;Alpha1
N020;64;TimeDecoderWithVehicleByPercentage;270,50;Alpha1
N020;64;TimeDecoderWithVehicleByPercentage;231,41;Alpha1
N050;73;PositionalDecoderWithVehicleByPercentage;687,33;Alpha1
N050;73;PositionalDecoderWithVehicleByPercentage;680,03;Alpha1
N050;73;PositionalDecoderWithVehicleByPercentage;678,18;Alpha1
N050;73;PositionalDecoderWithVehicleByPercentage;637,06;Alpha1
N050;73;PositionalDecoderWithVehicleByPercentage;616,99;Alpha1
N050;73;TimeDecoderWithVehicleByPercentage;616,29;Alpha1
N050;73;TimeDecoderWithVehicleByPercentage;670,85;Alpha1
N050;73;TimeDecoderWithVehicleByPercentage;577,70;Alpha1
N050;73;TimeDecoderWithVehicleByPercentage;660,79;Alpha1
N050;73;TimeDecoderWithVehicleByPercentage;683,28;Alpha1
N050;74;PositionalDecoderWithVehicleByPercentage;761,58;Alpha1
N050;74;PositionalDecoderWithVehicleByPercentage;698,57;Alpha1
N050;74;PositionalDecoderWithVehicleByPercentage;631,99;Alpha1
N050;74;PositionalDecoderWithVehicleByPercentage;633,67;Alpha1
N050;74;PositionalDecoderWithVehicleByPercentage;631,77;Alpha1
N050;74;TimeDecoderWithVehicleByPercentage;529,18;Alpha1
N050;74;TimeDecoderWithVehicleByPercentage;603,81;Alpha1
N050;74;TimeDecoderWithVehicleByPercentage;470,93;Alpha1
N050;74;TimeDecoderWithVehicleByPercentage;567,62;Alpha1
N050;74;TimeDecoderWithVehicleByPercentage;526,94;Alpha1
N050;75;PositionalDecoderWithVehicleByPercentage;717,32;Alpha1
N050;75;PositionalDecoderWithVehicleByPercentage;594,46;Alpha1
N050;75;PositionalDecoderWithVehicleByPercentage;572,23;Alpha1
N050;75;PositionalDecoderWithVehicleByPercentage;586,81;Alpha1
N050;75;PositionalDecoderWithVehicleByPercentage;714,15;Alpha1
N050;75;TimeDecoderWithVehicleByPercentage;703,25;Alpha1
N050;75;TimeDecoderWithVehicleByPercentage;525,14;Alpha1
N050;75;TimeDecoderWithVehicleByPercentage;600,15;Alpha1
N050;75;TimeDecoderWithVehicleByPercentage;660,50;Alpha1
N050;75;TimeDecoderWithVehicleByPercentage;620,64;Alpha1
N050;76;PositionalDecoderWithVehicleByPercentage;583,09;Alpha1
N050;76;PositionalDecoderWithVehicleByPercentage;613,45;Alpha1
N050;76;PositionalDecoderWithVehicleByPercentage;693,69;Alpha1
N050;76;PositionalDecoderWithVehicleByPercentage;543,45;Alpha1
N050;76;PositionalDecoderWithVehicleByPercentage;679,58;Alpha1
N050;76;TimeDecoderWithVehicleByPercentage;561,81;Alpha1
N050;76;TimeDecoderWithVehicleByPercentage;599,28;Alpha1
N050;76;TimeDecoderWithVehicleByPercentage;667,28;Alpha1
N050;76;TimeDecoderWithVehicleByPercentage;605,12;Alpha1
N050;76;TimeDecoderWithVehicleByPercentage;676,55;Alpha1
N050;77;PositionalDecoderWithVehicleByPercentage;578,21;Alpha1
N050;77;PositionalDecoderWithVehicleByPercentage;625,02;Alpha1
N050;77;PositionalDecoderWithVehicleByPercentage;668,99;Alpha1
N050;77;PositionalDecoderWithVehicleByPercentage;649,08;Alpha1
N050;77;PositionalDecoderWithVehicleByPercentage;584,13;Alpha1
N050;77;TimeDecoderWithVehicleByPercentage;634,96;Alpha1
N050;77;TimeDecoderWithVehicleByPercentage;710,12;Alpha1
N050;77;TimeDecoderWithVehicleByPercentage;760,73;Alpha1
N050;77;TimeDecoderWithVehicleByPercentage;587,44;Alpha1
N050;77;TimeDecoderWithVehicleByPercentage;675,15;Alpha1
N050;78;PositionalDecoderWithVehicleByPercentage;653,67;Alpha1
N050;78;PositionalDecoderWithVehicleByPercentage;592,09;Alpha1
N050;78;PositionalDecoderWithVehicleByPercentage;562,39;Alpha1
N050;78;PositionalDecoderWithVehicleByPercentage;643,56;Alpha1
N050;78;PositionalDecoderWithVehicleByPercentage;666,72;Alpha1
N050;78;TimeDecoderWithVehicleByPercentage;592,30;Alpha1
N050;78;TimeDecoderWithVehicleByPercentage;674,08;Alpha1
N050;78;TimeDecoderWithVehicleByPercentage;706,03;Alpha1
N050;78;TimeDecoderWithVehicleByPercentage;660,70;Alpha1
N050;78;TimeDecoderWithVehicleByPercentage;646,69;Alpha1
N050;80;PositionalDecoderWithVehicleByPercentage;598,95;Alpha1
N050;80;PositionalDecoderWithVehicleByPercentage;558,06;Alpha1
N050;80;PositionalDecoderWithVehicleByPercentage;470,43;Alpha1
N050;80;PositionalDecoderWithVehicleByPercentage;561,82;Alpha1
N050;80;PositionalDecoderWithVehicleByPercentage;596,88;Alpha1
N050;80;TimeDecoderWithVehicleByPercentage;543,14;Alpha1
N050;80;TimeDecoderWithVehicleByPercentage;553,57;Alpha1
N050;80;TimeDecoderWithVehicleByPercentage;695,91;Alpha1
N050;80;TimeDecoderWithVehicleByPercentage;580,22;Alpha1
N050;80;TimeDecoderWithVehicleByPercentage;544,48;Alpha1
N050;71;PositionalDecoderWithVehicleByPercentage;713,01;Alpha1
N050;71;PositionalDecoderWithVehicleByPercentage;599,03;Alpha1
N050;71;PositionalDecoderWithVehicleByPercentage;628,79;Alpha1
N050;71;PositionalDecoderWithVehicleByPercentage;627,04;Alpha1
N050;71;PositionalDecoderWithVehicleByPercentage;674,20;Alpha1
N050;71;TimeDecoderWithVehicleByPercentage;607,62;Alpha1
N050;71;TimeDecoderWithVehicleByPercentage;670,59;Alpha1
N050;71;TimeDecoderWithVehicleByPercentage;707,01;Alpha1
N050;71;TimeDecoderWithVehicleByPercentage;557,93;Alpha1
N050;71;TimeDecoderWithVehicleByPercentage;581,88;Alpha1
N050;79;PositionalDecoderWithVehicleByPercentage;551,64;Alpha1
N050;79;PositionalDecoderWithVehicleByPercentage;609,86;Alpha1
N050;79;PositionalDecoderWithVehicleByPercentage;617,36;Alpha1
N050;79;PositionalDecoderWithVehicleByPercentage;612,77;Alpha1
N050;79;PositionalDecoderWithVehicleByPercentage;461,40;Alpha1
N050;79;TimeDecoderWithVehicleByPercentage;631,74;Alpha1
N050;79;TimeDecoderWithVehicleByPercentage;590,77;Alpha1
N050;79;TimeDecoderWithVehicleByPercentage;507,75;Alpha1
N050;79;TimeDecoderWithVehicleByPercentage;607,38;Alpha1
