N;Instance;Decoder;Time Spent;Alpha
N010;51;PositionalDecoderWithVehicleByPercentage;301,18;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;301,18;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;301,18;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;301,18;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;301,18;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;287,55;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;295,51;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;296,12;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;294,71;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;286,39;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;275,78;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;292,28;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;273,14;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;288,95;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;274,97;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;338,06;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;338,06;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;338,06;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;338,06;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;338,06;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;312,32;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;309,97;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;312,32;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;312,32;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;318,97;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;234,26;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;238,61;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;238,54;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;244,78;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;234,26;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;302,87;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;302,87;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;302,87;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;302,87;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;302,87;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;273,65;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;291,15;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;280,64;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;288,40;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;282,50;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;303,87;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;303,87;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;303,87;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;303,87;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;303,87;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;277,15;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;255,73;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;259,26;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;251,83;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;261,71;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;284,66;Alpha1
