N;Instance;Decoder;Time Spent;Alpha
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;311,09;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;273,14;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;276,93;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;288,37;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;277,99;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;287,90;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;322,64;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;322,64;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;322,64;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;322,64;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;322,64;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;298,25;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;285,76;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;273,46;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;300,18;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;271,52;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;255,62;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;242,83;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;242,99;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;237,72;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;242,83;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;244,97;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;284,66;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;284,66;Alpha1
