N;Instance;Decoder;Total Distance;Time Spent;Alpha
N10;60;PositionalDecoderWithVehicleByPercentage;873,22;164,92;Alpha2
N10;60;PositionalDecoderWithVehicleByPercentage;896,31;164,92;Alpha2
N10;60;PositionalDecoderWithVehicleByPercentage;880,35;164,92;Alpha2
N10;60;PositionalDecoderWithVehicleByPercentage;854,33;164,92;Alpha2
N10;60;PositionalDecoderWithVehicleByPercentage;887,34;164,92;Alpha2
N10;60;PositionalDecoderWithVehicleByPercentage;901,80;164,92;Alpha2
N10;60;PositionalDecoderWithVehicleByPercentage;913,34;164,92;Alpha2
N10;60;PositionalDecoderWithVehicleByPercentage;746,67;222,76;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;900,91;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;869,51;166,07;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;863,48;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;865,07;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;889,72;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;891,60;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;864,52;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;917,66;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;884,19;164,92;Alpha2
N10;60;TimeDecoderWithVehicleByPercentage;889,64;164,92;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;790,78;124,95;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;738,67;142,21;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;794,96;124,95;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;752,09;124,95;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;791,24;124,95;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;756,77;124,95;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;801,62;142,21;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;785,98;142,21;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;676,20;179,38;Alpha2
N10;52;PositionalDecoderWithVehicleByPercentage;809,27;124,95;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;781,52;124,95;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;785,57;142,21;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;770,21;124,95;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;731,55;142,21;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;747,27;142,21;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;746,41;142,21;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;762,87;124,95;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;752,09;124,95;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;800,14;124,95;Alpha2
N10;52;TimeDecoderWithVehicleByPercentage;821,68;124,95;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;724,98;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;710,24;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;723,44;85,50;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;715,39;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;705,45;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;729,97;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;714,30;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;721,64;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;709,66;80,83;Alpha2
N10;53;PositionalDecoderWithVehicleByPercentage;711,69;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;711,79;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;688,25;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;722,12;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;710,98;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;719,45;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;688,25;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;698,18;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;728,46;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;710,98;80,83;Alpha2
N10;53;TimeDecoderWithVehicleByPercentage;705,24;80,83;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;839,42;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;836,96;136,31;Alpha2
