N;Instance;Decoder;Total Distance;Time Spent;Alpha
N10;51;PositionalDecoderWithVehicleByPercentage;866,51;226,91;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;1022,74;222,63;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;1052,03;222,63;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;926,86;204,23;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;984,63;223,46;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;894,93;223,46;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;1038,89;204,23;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;913,67;222,63;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;787,48;225,61;Alpha3
N10;51;PositionalDecoderWithVehicleByPercentage;1040,31;222,63;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;869,25;204,23;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;976,13;204,23;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;906,58;204,23;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;954,21;222,63;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;950,79;222,63;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;1006,57;204,23;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;988,35;204,23;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;995,45;204,23;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;1001,21;222,63;Alpha3
N10;51;TimeDecoderWithVehicleByPercentage;910,54;222,63;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;688,25;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;723,78;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;695,32;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;729,97;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;715,38;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;714,66;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;729,92;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;722,20;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;719,45;80,83;Alpha3
N10;53;PositionalDecoderWithVehicleByPercentage;718,69;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;723,82;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;717,70;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;729,19;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;694,78;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;711,79;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;711,53;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;724,45;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;703,10;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;723,78;80,83;Alpha3
N10;53;TimeDecoderWithVehicleByPercentage;721,34;80,83;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;732,66;184,33;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;811,11;163,35;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;827,60;184,33;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;891,36;184,33;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;810,87;163,35;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;801,32;184,33;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;713,38;188,34;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;805,51;163,35;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;904,67;189,51;Alpha3
N10;58;PositionalDecoderWithVehicleByPercentage;924,77;189,51;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;795,58;184,33;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;870,51;163,35;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;768,25;184,33;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;859,91;184,33;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;746,97;184,33;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;833,61;163,35;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;767,56;163,35;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;813,45;163,35;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;803,07;184,33;Alpha3
N10;58;TimeDecoderWithVehicleByPercentage;851,58;163,35;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;792,27;124,95;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;765,66;142,21;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;808,08;124,95;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;789,96;142,21;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;812,93;124,95;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;819,10;142,21;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;790,19;124,95;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;794,80;124,95;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;759,80;142,21;Alpha3
N10;52;PositionalDecoderWithVehicleByPercentage;819,11;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;753,74;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;806,01;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;774,30;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;781,52;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;763,39;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;756,77;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;785,57;142,21;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;792,73;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;787,77;124,95;Alpha3
N10;52;TimeDecoderWithVehicleByPercentage;830,95;139,32;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;836,16;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;828,71;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;859,55;138,97;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;850,40;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;869,06;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;873,74;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;857,31;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;874,53;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;830,29;136,31;Alpha3
N10;54;PositionalDecoderWithVehicleByPercentage;854,48;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;888,99;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;874,53;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;867,68;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;840,37;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;863,11;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;834,31;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;901,03;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;832,92;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;898,14;136,31;Alpha3
N10;54;TimeDecoderWithVehicleByPercentage;828,64;136,31;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;953,48;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1061,03;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;987,81;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1040,93;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1014,82;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1044,11;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1055,68;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1066,00;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1073,73;182,37;Alpha3
N10;55;PositionalDecoderWithVehicleByPercentage;1016,13;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;907,58;229,10;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;975,59;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;995,97;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;1040,86;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;1018,34;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;934,51;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;1056,26;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;930,40;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;961,97;182,37;Alpha3
N10;55;TimeDecoderWithVehicleByPercentage;964,39;182,37;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;895,81;175,02;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;808,83;171,29;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;899,43;175,02;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;872,56;175,02;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;801,09;171,29;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;783,93;171,29;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;819,64;171,29;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;931,34;180,53;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;777,80;171,29;Alpha3
N10;56;PositionalDecoderWithVehicleByPercentage;846,22;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;798,18;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;821,56;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;781,50;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;828,98;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;824,01;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;830,72;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;861,74;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;870,59;171,29;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;877,64;175,02;Alpha3
N10;56;TimeDecoderWithVehicleByPercentage;914,42;204,30;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;810,48;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;815,59;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;811,30;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;800,71;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;813,22;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;820,03;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;815,59;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;809,11;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;810,19;66,81;Alpha3
N10;57;PositionalDecoderWithVehicleByPercentage;809,78;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;804,27;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;806,35;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;806,16;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;820,83;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;811,32;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;812,76;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;808,11;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;806,35;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;803,52;66,81;Alpha3
N10;57;TimeDecoderWithVehicleByPercentage;814,17;66,81;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;900,07;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;906,42;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;915,84;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;896,75;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;917,59;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;880,57;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;913,56;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;914,36;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;877,80;115,86;Alpha3
N10;59;PositionalDecoderWithVehicleByPercentage;899,90;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;878,05;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;855,48;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;886,78;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;870,56;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;865,04;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;887,01;121,72;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;900,07;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;915,84;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;923,79;115,86;Alpha3
N10;59;TimeDecoderWithVehicleByPercentage;902,18;115,86;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;859,22;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;890,27;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;885,69;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;905,91;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;917,66;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;902,52;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;896,81;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;871,23;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;922,75;164,92;Alpha3
N10;60;PositionalDecoderWithVehicleByPercentage;862,29;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;882,23;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;914,56;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;889,30;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;862,29;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;865,07;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;884,97;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;861,89;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;900,91;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;896,31;164,92;Alpha3
N10;60;TimeDecoderWithVehicleByPercentage;896,31;164,92;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1487,71;287,35;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1673,42;278,08;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1537,86;255,84;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1595,36;300,31;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1416,14;247,73;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1540,40;287,85;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1708,02;277,90;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1582,76;316,75;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1641,05;278,25;Alpha3
N20;66;PositionalDecoderWithVehicleByPercentage;1444,42;250,75;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1414,93;293,25;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1572,21;245,88;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1403,45;327,85;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1645,90;282,44;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;945,75;262,97;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1740,07;341,63;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1509,71;292,29;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1419,32;287,37;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1532,17;314,61;Alpha3
N20;66;TimeDecoderWithVehicleByPercentage;1588,84;351,03;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1306,68;347,61;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1418,54;274,32;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1382,02;289,84;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1397,38;317,18;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1384,37;327,27;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1467,54;282,55;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1373,45;341,63;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1525,11;313,63;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1418,11;250,27;Alpha3
N20;67;PositionalDecoderWithVehicleByPercentage;1404,81;306,82;Alpha3
N20;67;TimeDecoderWithVehicleByPercentage;1327,06;309,64;Alpha3
N20;67;TimeDecoderWithVehicleByPercentage;1397,87;266,40;Alpha3
N20;67;TimeDecoderWithVehicleByPercentage;1480,83;274,21;Alpha3
N20;67;TimeDecoderWithVehicleByPercentage;1418,72;290,31;Alpha3
N20;67;TimeDecoderWithVehicleByPercentage;1428,86;275,87;Alpha3
N20;67;TimeDecoderWithVehicleByPercentage;1395,75;249,75;Alpha3
N20;67;TimeDecoderWithVehicleByPercentage;1271,66;323,30;Alpha3
