N;Instance;Decoder;Total Distance;Time Spent;Alpha
N10;52;PositionalDecoderWithVehicleByPercentage;615,08;179,38;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;750,66;142,21;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;770,38;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;814,03;179,38;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;782,80;142,21;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;787,77;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;817,92;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;790,11;124,95;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;565,48;179,38;Alpha1
N10;52;PositionalDecoderWithVehicleByPercentage;808,24;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;758,79;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;793,11;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;585,21;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;804,24;139,32;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;553,79;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;768,56;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;548,40;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;792,99;124,95;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;605,81;179,38;Alpha1
N10;52;TimeDecoderWithVehicleByPercentage;771,85;124,95;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;709,66;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;723,82;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;715,02;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;729,92;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;733,24;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;721,56;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;636,62;93,56;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;733,28;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;723,78;80,83;Alpha1
N10;53;PositionalDecoderWithVehicleByPercentage;693,07;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;720,80;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;736,09;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;687,09;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;710,64;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;696,82;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;710,98;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;695,32;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;705,24;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;722,12;80,83;Alpha1
N10;53;TimeDecoderWithVehicleByPercentage;710,23;80,83;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;890,40;175,02;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;785,77;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;898,54;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;892,15;204,30;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;915,65;175,02;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;858,31;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;786,72;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;743,23;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;745,43;171,29;Alpha1
N10;56;PositionalDecoderWithVehicleByPercentage;781,50;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;813,33;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;808,83;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;794,97;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;877,64;175,02;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;802,30;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;827,77;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;934,92;175,02;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;745,43;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;798,18;171,29;Alpha1
N10;56;TimeDecoderWithVehicleByPercentage;853,36;171,29;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;804,91;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;572,66;169,65;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;814,47;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;815,54;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;809,14;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;799,97;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;819,28;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;715,85;161,88;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;810,94;66,81;Alpha1
N10;57;PositionalDecoderWithVehicleByPercentage;813,95;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;812,17;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;803,72;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;810,53;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;820,03;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;806,35;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;815,65;66,81;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;673,80;161,88;Alpha1
N10;57;TimeDecoderWithVehicleByPercentage;819,74;66,81;Alpha1
